cpu utils	cpu utils err 0	cpu utils err 1	cpu utils err 2	device	disk utils	disk utils err 0	disk utils err 1	disk utils err 2	para_value	parameter	qps	qps err 0	qps err 1	qps err 2	stall duration	stall duration err 0	stall duration err 1	stall duration err 2	tuning actions	tuning actions err 0	tuning actions err 1	tuning actions err 2
256.33	-2.64	18.15	-15.52	NVMe SSD	847.29	-45.26	103.57	-58.31	0.25	idle_rate	147079.0	-8956.0	10914.0	-1958.0	235.41	17.83	-19.6	1.77	65.33	9.67	-12.33	2.67
246.79	1.92	-4.38	4.58	NVMe SSD	814.18	-40.73	15.14	-27.96	0.5	idle_rate	141879.67	-5920.67	-1536.67	-4002.67	253.91	16.1	11.44	-1.42	64.33	1.67	-7.33	4.67
485.6	-243.28	-230.37	-249.28	NVMe SSD	1557.45	-790.44	-750.68	-798.61	0.75	idle_rate	225755.0	-87699.0	-83608.0	-93271.0	48.24	209.47	204.09	226.32	16.33	52.67	49.67	45.67
476.97	-238.99	-232.25	-231.4	NVMe SSD	1541.87	-751.73	-740.66	-729.8	1	idle_rate	222786.33	-87902.33	-79879.33	-79871.33	51.83	216.22	199.7	202.73	18.67	42.33	50.33	47.33
43.57	194.43	207.09	208.14	NVMe SSD	85.29	702.11	762.7	721.85	1.25	idle_rate	26471.0	110839.0	120491.0	114896.0	509.89	-241.43	-269.68	-256.82	43.33	18.67	21.67	22.67
55.48	189.65	185.73	182.56	NVMe SSD	108.32	684.14	713.54	667.68	1.5	idle_rate	30568.33	110104.67	110984.67	105320.67	511.97	-257.97	-264.22	-251.25	45.0	20.0	18.0	20.0
188.85	41.99	63.65	69.08	NVMe SSD	375.51	362.21	414.81	437.85	1.75	idle_rate	80045.0	51833.0	60538.0	60627.0	407.55	-137.37	-156.64	-160.09	67.67	1.33	-4.67	-1.67
177.61	60.1	71.87	65.64	NVMe SSD	351.67	435.39	476.58	459.08	2	idle_rate	77931.33	59390.67	66315.67	67616.67	418.12	-163.57	-171.07	-179.67	71.0	-6.0	-13.0	7.0
247.5	261.39	218.94	233.98	PM	796.33	838.55	715.73	729.07	0.25	idle_rate	138059.67	95180.33	84709.33	83196.33	262.62	-234.82	-206.64	-201.68	64.0	-53.0	-41.0	-49.0
241.46	241.63	208.46	240.64	PM	796.77	740.52	682.66	749.5	0.5	idle_rate	139371.67	84918.33	79493.33	83565.33	254.16	-195.51	-188.88	-202.79	64.33	-46.33	-39.33	-49.33
471.7	-5.63	-21.77	-10.27	PM	1521.0	26.25	-33.77	-25.42	0.75	idle_rate	222030.67	-4736.67	1806.33	-2648.67	58.43	20.43	4.65	1.85	19.33	2.67	-0.33	1.67
476.64	-10.41	33.02	3.33	PM	1555.73	-64.77	99.35	-19.83	1	idle_rate	226719.0	-7225.0	1457.0	-2015.0	47.44	10.17	-3.01	9.32	17.0	2.0	2.0	3.0
56.29	405.04	444.87	412.14	PM	106.27	1402.07	1497.74	1406.98	1.25	idle_rate	31021.33	186410.67	199943.67	188940.67	486.75	-415.55	-455.74	-433.47	55.0	-30.0	-41.0	-38.0
52.36	418.7	447.94	406.21	PM	100.91	1427.43	1511.2	1425.82	1.5	idle_rate	29040.67	194618.33	199748.33	198668.33	497.82	-443.88	-455.24	-452.01	40.0	-20.0	-27.0	-22.0
182.48	290.45	236.93	278.19	PM	355.12	1172.27	1031.07	1141.15	1.75	idle_rate	73833.33	149422.67	135637.67	147387.67	419.87	-358.28	-330.68	-360.02	74.0	-53.0	-41.0	-54.0
171.85	290.23	322.6	322.96	PM	342.06	1174.6	1250.72	1260.36	2	idle_rate	75332.0	150970.0	153369.0	154548.0	418.59	-375.55	-379.04	-383.72	70.67	-52.67	-54.67	-56.67
244.62	-200.12	-201.5	-201.52	SATA HDD	777.54	-691.23	-692.95	-692.57	0.25	idle_rate	137562.33	-111506.33	-111913.33	-109854.33	261.53	251.91	263.74	229.44	65.67	-18.67	-24.67	-23.67
247.09	-196.14	-187.24	-189.03	SATA HDD	780.47	-685.35	-666.42	-670.84	0.5	idle_rate	137711.0	-107651.0	-107365.0	-105053.0	256.18	237.23	229.21	225.28	66.0	-25.0	-6.0	-2.0
459.14	-394.29	-396.31	-394.94	SATA HDD	1510.02	-1387.32	-1386.82	-1385.12	0.75	idle_rate	220171.0	-184104.0	-185986.0	-186241.0	67.41	434.28	459.45	415.54	20.67	31.33	26.33	22.33
451.0	-391.23	-393.31	-391.28	SATA HDD	1469.95	-1355.88	-1355.17	-1349.71	1	idle_rate	217982.67	-184763.67	-186163.67	-183674.67	70.21	412.91	455.95	426.66	24.67	30.33	13.33	17.33
63.96	-9.44	-7.47	-8.53	SATA HDD	123.6	-13.38	-16.4	-16.06	1.25	idle_rate	34727.33	-5630.33	-593.33	-6253.33	503.83	0.43	-26.27	50.25	47.33	-3.33	7.67	-11.33
45.31	6.21	7.18	7.77	SATA HDD	91.2	8.38	10.33	10.43	1.5	idle_rate	27370.67	3732.33	523.33	754.33	517.04	-4.72	-22.79	-30.14	42.67	-1.67	-6.67	0.33
179.08	-134.29	-133.79	-133.23	SATA HDD	356.41	-268.49	-262.94	-264.21	1.75	idle_rate	78459.0	-50870.0	-50496.0	-51899.0	414.92	148.16	87.5	70.71	76.0	-32.0	-42.0	-26.0
175.92	-125.55	-132.72	-136.1	SATA HDD	342.14	-245.56	-259.59	-260.81	2	idle_rate	75080.33	-46893.33	-49715.33	-51606.33	416.09	72.75	118.01	122.18	70.0	-1.0	-30.0	-22.0
242.76	-58.48	-40.65	-62.6	SATA SSD	801.14	-441.81	-386.08	-449.01	0.25	idle_rate	140235.33	-63522.33	-50244.33	-66804.33	258.05	157.24	130.88	160.38	65.33	16.67	0.67	-10.33
243.48	-62.99	-54.68	-65.33	SATA SSD	808.69	-456.56	-438.48	-465.68	0.5	idle_rate	142372.33	-69039.33	-65590.33	-70987.33	246.68	173.27	164.02	182.28	67.0	4.0	12.0	5.0
485.29	-313.01	-304.0	-301.62	SATA SSD	1560.65	-1213.64	-1200.05	-1199.04	0.75	idle_rate	224124.67	-139696.67	-150137.67	-147162.67	52.93	336.04	370.61	379.33	19.33	66.67	50.67	52.67
483.78	-310.01	-304.2	-316.22	SATA SSD	1570.62	-1228.34	-1203.58	-1234.3	1	idle_rate	228294.33	-154293.33	-146338.33	-152253.33	39.15	371.53	362.83	378.71	16.0	68.0	61.0	63.0
59.06	116.05	122.76	116.83	SATA SSD	116.36	230.99	247.11	227.83	1.25	idle_rate	33115.33	42972.67	45746.67	45728.67	502.05	-80.63	-77.76	-93.4	45.0	30.0	13.0	35.0
44.46	127.96	130.12	124.08	SATA SSD	86.82	249.3	260.4	256.01	1.5	idle_rate	25675.33	48805.67	50661.67	49502.67	520.4	-102.63	-100.66	-102.13	52.33	19.67	16.67	18.67
173.64	0.38	10.24	-3.77	SATA SSD	348.55	-10.67	1.55	-10.12	1.75	idle_rate	77332.67	-3321.67	293.33	-3728.67	410.17	5.61	2.32	9.83	80.0	-7.0	-15.0	-8.0
174.97	2.79	7.01	-9.81	SATA SSD	343.65	-2.04	16.98	-14.94	2	idle_rate	77199.0	-3001.0	1791.0	1210.0	405.55	1.3	-5.22	3.92	73.33	3.67	-12.33	8.67
